date,amount,price,sid,symbol,value
2011-05-17 00:00:00+00:00,40,232.0,15,BATA,-9280.0
2011-05-17 00:00:00+00:00,34,264.4,18,BHEL,-8989.599999999999
2011-05-17 00:00:00+00:00,53,178.0,31,CADI,-9434.0
2011-05-17 00:00:00+00:00,44,222.93,34,CESC,-9808.92
2011-05-17 00:00:00+00:00,23,390.0,37,COAL,-8970.0
2011-05-17 00:00:00+00:00,31,305.5,53,GLEN,-9470.5
2011-05-17 00:00:00+00:00,91,101.93,68,HZNC,-9275.630000000001
2011-05-17 00:00:00+00:00,344,27.47,93,MOSS,-9449.68
2011-05-17 00:00:00+00:00,7,1260.0,109,PFIZ,-8820.0
2011-05-17 00:00:00+00:00,133,70.0,112,PIIL,-9310.0
2011-05-17 00:00:00+00:00,17,554.8,143,UBBW,-9431.599999999999
2011-05-24 00:00:00+00:00,-31,287.5,53,GLEN,8912.5
2011-05-24 00:00:00+00:00,58,161.8,88,MAXI,-9384.400000000001
2011-05-31 00:00:00+00:00,-34,258.52,18,BHEL,8789.68
2011-05-31 00:00:00+00:00,-44,217.67,34,CESC,9577.48
2011-05-31 00:00:00+00:00,130,67.37,94,MRCO,-8758.1
2011-05-31 00:00:00+00:00,43,217.15,136,TITN,-9337.45
2011-05-31 00:00:00+00:00,93,102.39,139,TREN,-9522.27
2011-06-07 00:00:00+00:00,58,163.7,50,FOHE,-9494.599999999999
2011-06-07 00:00:00+00:00,-91,105.32,68,HZNC,9584.119999999999
2011-06-07 00:00:00+00:00,27,355.5,74,INED,-9598.5
2011-06-07 00:00:00+00:00,23,405.65,82,JUBI,-9329.949999999999
2011-06-07 00:00:00+00:00,-17,543.0,143,UBBW,9231.0
2011-06-14 00:00:00+00:00,6,1449.95,0,ABOT,-8699.7
2011-06-14 00:00:00+00:00,130,75.06,23,BLKI,-9757.800000000001
2011-06-14 00:00:00+00:00,12,804.95,43,DIVI,-9659.400000000001
2011-06-21 00:00:00+00:00,-6,1432.0,0,ABOT,8592.0
2011-06-21 00:00:00+00:00,219,42.41,49,FED,-9287.789999999999
2011-06-21 00:00:00+00:00,600,15.56,148,VGUA,-9336.0
2011-06-28 00:00:00+00:00,-58,159.75,50,FOHE,9265.5
2011-06-28 00:00:00+00:00,5,1770.0,108,PAGE,-8850.0
2011-07-05 00:00:00+00:00,13,754.95,57,GODR,-9814.35
2011-07-05 00:00:00+00:00,-7,1481.0,109,PFIZ,10367.0
2011-07-12 00:00:00+00:00,88,120.95,4,AMAR,-10643.6
2011-07-12 00:00:00+00:00,-53,188.0,31,CADI,9964.0
2011-07-12 00:00:00+00:00,76,135.84,32,CAST,-10323.84
2011-07-12 00:00:00+00:00,-130,80.2,94,MRCO,10426.0
2011-07-19 00:00:00+00:00,32,317.7,11,ASPN,-10166.4
2011-07-19 00:00:00+00:00,59,169.0,48,EXID,-9971.0
2011-07-19 00:00:00+00:00,-13,800.0,57,GODR,10400.0
2011-07-19 00:00:00+00:00,-5,1920.05,108,PAGE,9600.25
2011-07-26 00:00:00+00:00,-23,370.55,37,COAL,8522.65
2011-07-26 00:00:00+00:00,76,135.91,78,ITC,-10329.16
2011-07-26 00:00:00+00:00,-344,30.68,93,MOSS,10553.92
2011-07-26 00:00:00+00:00,4,2355.0,108,PAGE,-9420.0
2011-07-26 00:00:00+00:00,59,179.7,111,PIDI,-10602.3
2011-08-02 00:00:00+00:00,62,166.08,46,EMAM,-10296.960000000001
2011-08-02 00:00:00+00:00,-59,153.05,48,EXID,9029.95
2011-08-02 00:00:00+00:00,-219,42.0,49,FED,9198.0
2011-08-02 00:00:00+00:00,121,82.53,70,IGAS,-9986.130000000001
2011-08-02 00:00:00+00:00,-58,181.95,88,MAXI,10553.099999999999
2011-08-09 00:00:00+00:00,47,202.2,56,GODI,-9503.4
2011-08-09 00:00:00+00:00,-27,329.15,74,INED,8887.05
2011-08-09 00:00:00+00:00,-76,126.13,78,ITC,9585.88
2011-08-09 00:00:00+00:00,151,63.81,97,NAFL,-9635.31
2011-08-09 00:00:00+00:00,115,85.5,114,PLNG,-9832.5
2011-08-09 00:00:00+00:00,104,92.0,149,VODA,-9568.0
2011-08-23 00:00:00+00:00,43,230.75,29,BRIT,-9922.25
2011-08-23 00:00:00+00:00,-47,197.0,56,GODI,9259.0
2011-08-30 00:00:00+00:00,-12,707.6,43,DIVI,8491.2
2011-08-30 00:00:00+00:00,-43,206.0,136,TITN,8858.0
2011-09-13 00:00:00+00:00,29,346.75,64,HLL,-10055.75
2011-09-13 00:00:00+00:00,4,2204.0,66,HROM,-8816.0
2011-09-13 00:00:00+00:00,-59,165.9,111,PIDI,9788.1
2011-09-20 00:00:00+00:00,-76,123.25,32,CAST,9367.0
2011-09-20 00:00:00+00:00,-600,15.48,148,VGUA,9288.0
2011-09-27 00:00:00+00:00,-62,148.52,46,EMAM,9208.24
2011-09-27 00:00:00+00:00,4,2285.44,124,SANO,-9141.76
2011-10-04 00:00:00+00:00,-93,109.25,139,TREN,10160.25
2011-10-11 00:00:00+00:00,-88,102.0,4,AMAR,8976.0
2011-10-11 00:00:00+00:00,54,178.5,88,MAXI,-9639.0
2011-10-18 00:00:00+00:00,21,457.5,86,LUPN,-9607.5
2011-10-18 00:00:00+00:00,69,139.0,122,REXP,-9591.0
2011-10-25 00:00:00+00:00,-32,304.51,11,ASPN,9744.32
2011-10-25 00:00:00+00:00,-23,428.95,82,JUBI,9865.85
2011-11-01 00:00:00+00:00,-43,235.0,29,BRIT,10105.0
2011-11-01 00:00:00+00:00,154,69.0,142,TVSM,-10626.0
2011-11-08 00:00:00+00:00,24,437.9,52,GGAS,-10509.599999999999
2011-11-08 00:00:00+00:00,-54,187.4,88,MAXI,10119.6
2011-11-15 00:00:00+00:00,8,1200.15,2,ACC,-9601.2
2011-11-15 00:00:00+00:00,-21,461.7,86,LUPN,9695.699999999999
2011-11-15 00:00:00+00:00,85,121.6,138,TRCE,-10336.0
2011-11-22 00:00:00+00:00,-24,374.95,52,GGAS,8998.8
2011-11-29 00:00:00+00:00,15,624.65,5,APLH,-9369.75
2011-11-29 00:00:00+00:00,26,359.8,87,MAHM,-9354.800000000001
2011-11-29 00:00:00+00:00,-115,81.75,114,PLNG,9401.25
2011-12-13 00:00:00+00:00,-40,271.6,15,BATA,10864.0
2011-12-13 00:00:00+00:00,-121,72.62,70,IGAS,8787.02
2011-12-13 00:00:00+00:00,4,2049.95,126,SHCM,-8199.8
2011-12-13 00:00:00+00:00,8,1130.25,144,ULTC,-9042.0
2011-12-20 00:00:00+00:00,-26,327.87,87,MAHM,8524.62
2011-12-20 00:00:00+00:00,-104,82.75,149,VODA,8606.0
2011-12-27 00:00:00+00:00,199,47.0,14,BAJE,-9353.0
2011-12-27 00:00:00+00:00,-130,80.17,23,BLKI,10422.1
2011-12-27 00:00:00+00:00,-4,1930.0,66,HROM,7720.0
2011-12-27 00:00:00+00:00,-151,58.52,97,NAFL,8836.52
2011-12-27 00:00:00+00:00,-133,100.0,112,PIIL,13300.0
2011-12-27 00:00:00+00:00,-154,54.45,142,TVSM,8385.300000000001
2012-01-03 00:00:00+00:00,89,101.0,42,DABU,-8989.0
2012-01-03 00:00:00+00:00,63,143.0,111,PIDI,-9009.0
2012-01-10 00:00:00+00:00,13,652.0,20,BJAT,-8476.0
2012-01-10 00:00:00+00:00,140,63.9,76,IOC,-8946.0
2012-01-10 00:00:00+00:00,-4,2415.0,108,PAGE,9660.0
2012-01-17 00:00:00+00:00,21,424.1,67,HVEL,-8906.1
2012-01-24 00:00:00+00:00,-89,95.95,42,DABU,8539.550000000001
2012-01-31 00:00:00+00:00,-140,70.2,76,IOC,9828.0
2012-01-31 00:00:00+00:00,21,430.0,90,MINT,-9030.0
2012-01-31 00:00:00+00:00,-63,138.0,111,PIDI,8694.0
2012-01-31 00:00:00+00:00,5,1660.25,120,REDY,-8301.25
2012-01-31 00:00:00+00:00,-4,2314.6,124,SANO,9258.4
2012-01-31 00:00:00+00:00,38,232.6,132,TAMO,-8838.8
2012-01-31 00:00:00+00:00,16,537.25,133,TCS,-8596.0
2012-02-07 00:00:00+00:00,-199,48.33,14,BAJE,9617.67
2012-02-07 00:00:00+00:00,20,461.14,58,GRAS,-9222.8
2012-02-07 00:00:00+00:00,36,271.2,85,LICH,-9763.199999999999
2012-02-07 00:00:00+00:00,22,441.15,113,PIRA,-9705.3
2012-02-07 00:00:00+00:00,35,277.85,129,SUN,-9724.75
2012-02-14 00:00:00+00:00,57,169.5,1,ABUJ,-9661.5
2012-02-14 00:00:00+00:00,125,78.4,6,APLO,-9800.0
2012-02-14 00:00:00+00:00,-13,790.0,20,BJAT,10270.0
2012-02-14 00:00:00+00:00,51,191.09,152,WIPR,-9745.59
2012-02-21 00:00:00+00:00,-69,139.1,122,REXP,9597.9
2012-02-28 00:00:00+00:00,27,357.92,75,INFY,-9663.84
2012-03-06 00:00:00+00:00,-27,347.89,75,INFY,9393.029999999999
2012-03-06 00:00:00+00:00,1,9635.0,95,MRF,-9635.0
2012-03-06 00:00:00+00:00,85,115.15,131,TAGL,-9787.75
2012-03-13 00:00:00+00:00,-57,162.8,1,ABUJ,9279.6
2012-03-13 00:00:00+00:00,-15,608.05,5,APLH,9120.75
2012-03-13 00:00:00+00:00,359,27.9,9,ARTI,-10016.1
2012-03-13 00:00:00+00:00,-29,381.0,64,HLL,11049.0
2012-03-13 00:00:00+00:00,158,64.66,99,NATP,-10216.279999999999
2012-03-13 00:00:00+00:00,73,134.75,153,ZEE,-9836.75
2012-03-27 00:00:00+00:00,-8,1335.0,2,ACC,10680.0
2012-03-27 00:00:00+00:00,82,119.5,23,BLKI,-9799.0
2012-03-27 00:00:00+00:00,30,339.8,77,IPCA,-10194.0
2012-03-27 00:00:00+00:00,-5,1675.25,120,REDY,8376.25
2012-03-27 00:00:00+00:00,-16,566.21,133,TCS,9059.36
2012-03-27 00:00:00+00:00,18,540.95,143,UBBW,-9737.1
2012-03-27 00:00:00+00:00,-73,127.0,153,ZEE,9271.0
2012-04-03 00:00:00+00:00,-20,433.16,58,GRAS,8663.2
2012-04-03 00:00:00+00:00,17,604.6,82,JUBI,-10278.2
2012-04-03 00:00:00+00:00,-36,267.0,85,LICH,9612.0
2012-04-10 00:00:00+00:00,68,151.82,4,AMAR,-10323.76
2012-04-24 00:00:00+00:00,39,264.4,56,GODI,-10311.599999999999
2012-04-24 00:00:00+00:00,-35,297.5,129,SUN,10412.5
2012-04-24 00:00:00+00:00,-51,187.58,152,WIPR,9566.58
2012-05-08 00:00:00+00:00,14,712.29,22,BJFS,-9972.06
2012-05-08 00:00:00+00:00,-22,447.4,113,PIRA,9842.8
2012-05-08 00:00:00+00:00,-8,1410.0,144,ULTC,11280.0
2012-05-15 00:00:00+00:00,285,34.13,35,CHLA,-9727.050000000001
2012-05-15 00:00:00+00:00,-85,103.0,131,TAGL,8755.0
2012-05-15 00:00:00+00:00,-18,499.0,143,UBBW,8982.0
2012-05-29 00:00:00+00:00,26,383.0,11,ASPN,-9958.0
2012-05-29 00:00:00+00:00,90,116.65,27,BPCL,-10498.5
2012-05-29 00:00:00+00:00,35,291.0,101,NITT,-10185.0
2012-05-29 00:00:00+00:00,-4,2565.55,126,SHCM,10262.2
2012-05-29 00:00:00+00:00,-85,139.1,138,TRCE,11823.5
2012-06-05 00:00:00+00:00,1,8846.0,26,BOSH,-8846.0
2012-06-05 00:00:00+00:00,202,47.84,28,BRGR,-9663.68
2012-06-05 00:00:00+00:00,59,165.08,46,EMAM,-9739.720000000001
2012-06-05 00:00:00+00:00,-21,540.5,67,HVEL,11350.5
2012-06-05 00:00:00+00:00,-30,343.9,77,IPCA,10317.0
2012-06-12 00:00:00+00:00,-285,32.1,35,CHLA,9148.5
2012-06-12 00:00:00+00:00,83,116.0,116,PREG,-9628.0
2012-06-12 00:00:00+00:00,-38,230.23,132,TAMO,8748.74
2012-06-19 00:00:00+00:00,-125,77.8,6,APLO,9725.0
2012-06-19 00:00:00+00:00,-39,228.0,56,GODI,8892.0
2012-06-19 00:00:00+00:00,27,367.5,74,INED,-9922.5
2012-07-10 00:00:00+00:00,9,1012.0,43,DIVI,-9108.0
2012-07-10 00:00:00+00:00,34,286.0,55,GOCP,-9724.0
2012-07-10 00:00:00+00:00,-27,328.9,74,INED,8880.3
2012-07-10 00:00:00+00:00,-1,10498.95,95,MRF,10498.95
2012-07-17 00:00:00+00:00,-68,152.97,4,AMAR,10401.96
2012-07-17 00:00:00+00:00,105,94.05,21,BJFN,-9875.25
2012-07-17 00:00:00+00:00,25,381.0,53,GLEN,-9525.0
2012-07-17 00:00:00+00:00,58,168.03,78,ITC,-9745.74
2012-07-17 00:00:00+00:00,-83,112.7,116,PREG,9354.1
2012-07-17 00:00:00+00:00,4,2300.5,117,PROC,-9202.0
2012-07-24 00:00:00+00:00,-82,147.41,23,BLKI,12087.619999999999
2012-07-24 00:00:00+00:00,-158,71.78,99,NATP,11341.24
2012-07-24 00:00:00+00:00,32,309.2,129,SUN,-9894.4
2012-07-24 00:00:00+00:00,458,21.32,148,VGUA,-9764.56
2012-07-31 00:00:00+00:00,-14,718.97,22,BJFS,10065.58
2012-08-07 00:00:00+00:00,57,180.38,31,CADI,-10281.66
2012-08-07 00:00:00+00:00,21,468.1,64,HLL,-9830.1
2012-08-07 00:00:00+00:00,-17,573.42,82,JUBI,9748.14
2012-08-14 00:00:00+00:00,-90,114.93,27,BPCL,10343.7
2012-08-14 00:00:00+00:00,25,412.0,77,IPCA,-10300.0
2012-08-21 00:00:00+00:00,-1,8725.0,26,BOSH,8725.0
2012-08-21 00:00:00+00:00,-35,265.3,101,NITT,9285.5
2012-08-21 00:00:00+00:00,60,170.3,153,ZEE,-10218.0
2012-08-28 00:00:00+00:00,85,122.85,42,DABU,-10442.25
2012-08-28 00:00:00+00:00,56,186.0,146,UNSP,-10416.0
2012-09-04 00:00:00+00:00,-26,364.9,11,ASPN,9487.4
2012-09-11 00:00:00+00:00,105,101.95,94,MRCO,-10704.75
2012-09-18 00:00:00+00:00,-202,51.02,28,BRGR,10306.04
2012-09-18 00:00:00+00:00,-4,2390.0,117,PROC,9560.0
2012-09-18 00:00:00+00:00,92,113.77,139,TREN,-10466.84
2012-09-25 00:00:00+00:00,-359,37.66,9,ARTI,13519.939999999999
2012-09-25 00:00:00+00:00,-59,163.3,46,EMAM,9634.7
2012-09-25 00:00:00+00:00,-105,93.86,94,MRCO,9855.3
2012-09-25 00:00:00+00:00,57,183.65,138,TRCE,-10468.050000000001
2012-09-25 00:00:00+00:00,5,1832.0,144,ULTC,-9160.0
2012-10-09 00:00:00+00:00,51,210.45,1,ABUJ,-10732.949999999999
2012-10-09 00:00:00+00:00,48,221.0,4,AMAR,-10608.0
2012-10-09 00:00:00+00:00,-57,169.6,31,CADI,9667.199999999999
2012-10-09 00:00:00+00:00,41,258.65,34,CESC,-10604.65
2012-10-09 00:00:00+00:00,19,540.85,58,GRAS,-10276.15
2012-10-09 00:00:00+00:00,-58,184.63,78,ITC,10708.539999999999
2012-10-09 00:00:00+00:00,-21,659.2,90,MINT,13843.2
2012-10-09 00:00:00+00:00,257,40.8,92,MNFL,-10485.599999999999
2012-10-09 00:00:00+00:00,-32,355.05,129,SUN,11361.6
2012-10-09 00:00:00+00:00,22,467.22,134,TEML,-10278.84
2012-10-16 00:00:00+00:00,-85,135.0,42,DABU,11475.0
2012-10-23 00:00:00+00:00,-41,264.06,34,CESC,10826.460000000001
2012-10-23 00:00:00+00:00,-25,405.35,53,GLEN,10133.75
2012-10-23 00:00:00+00:00,61,179.58,91,MMFS,-10954.380000000001
2012-10-23 00:00:00+00:00,70,160.1,131,TAGL,-11207.0
2012-10-30 00:00:00+00:00,-9,1163.65,43,DIVI,10472.85
2012-10-30 00:00:00+00:00,14,760.0,143,UBBW,-10640.0
2012-11-06 00:00:00+00:00,23,452.81,87,MAHM,-10414.63
2012-11-06 00:00:00+00:00,355,30.37,93,MOSS,-10781.35
2012-11-06 00:00:00+00:00,-92,115.17,139,TREN,10595.64
2012-11-13 00:00:00+00:00,128,89.5,8,ARBN,-11456.0
2012-11-13 00:00:00+00:00,-34,345.5,55,GOCP,11747.0
2012-11-27 00:00:00+00:00,72,159.06,61,HCLT,-11452.32
2012-11-27 00:00:00+00:00,-21,537.5,64,HLL,11287.5
2012-12-04 00:00:00+00:00,-51,211.8,1,ABUJ,10801.800000000001
2012-12-04 00:00:00+00:00,-25,456.7,77,IPCA,11417.5
2012-12-04 00:00:00+00:00,-257,36.35,92,MNFL,9341.95
2012-12-04 00:00:00+00:00,2,4316.15,126,SHCM,-8632.3
2012-12-04 00:00:00+00:00,38,306.0,136,TITN,-11628.0
2012-12-11 00:00:00+00:00,237,50.68,35,CHLA,-12011.16
2012-12-11 00:00:00+00:00,72,166.85,116,PREG,-12013.199999999999
2012-12-18 00:00:00+00:00,-19,521.24,58,GRAS,9903.56
2012-12-18 00:00:00+00:00,-22,470.71,134,TEML,10355.619999999999
2013-01-01 00:00:00+00:00,253,48.37,9,ARTI,-12237.609999999999
2013-01-01 00:00:00+00:00,-237,52.6,35,CHLA,12466.2
2013-01-01 00:00:00+00:00,28,429.05,130,SUTV,-12013.4
2013-01-01 00:00:00+00:00,-5,1995.0,144,ULTC,9975.0
2013-01-08 00:00:00+00:00,5,2204.0,13,BAJA,-11020.0
2013-01-08 00:00:00+00:00,-72,155.53,61,HCLT,11198.16
2013-01-08 00:00:00+00:00,-38,282.0,136,TITN,10716.0
2013-01-15 00:00:00+00:00,414,29.42,3,ADEL,-12179.880000000001
2013-01-15 00:00:00+00:00,-5,2088.0,13,BAJA,10440.0
2013-01-15 00:00:00+00:00,44,272.9,145,UNBK,-12007.599999999999
2013-01-22 00:00:00+00:00,-105,136.01,21,BJFN,14281.05
2013-01-22 00:00:00+00:00,23,522.1,36,CNBK,-12008.300000000001
2013-01-22 00:00:00+00:00,-23,439.82,87,MAHM,10115.86
2013-01-22 00:00:00+00:00,-70,154.4,131,TAGL,10808.0
2013-01-22 00:00:00+00:00,101,120.1,149,VODA,-12130.099999999999
2013-01-29 00:00:00+00:00,-458,35.86,148,VGUA,16423.88
2013-02-05 00:00:00+00:00,40,294.06,12,AXBK,-11762.4
2013-02-05 00:00:00+00:00,-14,768.25,143,UBBW,10755.5
2013-02-12 00:00:00+00:00,39,288.35,30,BRTI,-11245.650000000001
2013-02-12 00:00:00+00:00,-2,4415.0,126,SHCM,8830.0
2013-02-19 00:00:00+00:00,-253,41.95,9,ARTI,10613.35
2013-02-19 00:00:00+00:00,-23,457.1,36,CNBK,10513.300000000001
2013-02-26 00:00:00+00:00,-414,24.42,3,ADEL,10109.880000000001
2013-03-05 00:00:00+00:00,166,67.91,28,BRGR,-11273.06
2013-03-05 00:00:00+00:00,-39,290.14,30,BRTI,11315.46
2013-03-05 00:00:00+00:00,-61,181.05,91,MMFS,11044.050000000001
2013-03-05 00:00:00+00:00,-44,216.5,145,UNBK,9526.0
2013-03-12 00:00:00+00:00,-128,83.58,8,ARBN,10698.24
2013-03-12 00:00:00+00:00,59,193.59,61,HCLT,-11421.81
2013-03-19 00:00:00+00:00,23,500.5,11,ASPN,-11511.5
2013-03-26 00:00:00+00:00,27,409.0,129,SUN,-11043.0
2013-03-26 00:00:00+00:00,-60,209.4,153,ZEE,12564.0
2013-04-02 00:00:00+00:00,22,468.9,53,GLEN,-10315.8
2013-04-02 00:00:00+00:00,-72,163.15,116,PREG,11746.800000000001
2013-04-09 00:00:00+00:00,-40,242.07,12,AXBK,9682.8
2013-04-09 00:00:00+00:00,210,52.0,35,CHLA,-10920.0
2013-04-09 00:00:00+00:00,-28,364.0,130,SUTV,10192.0
2013-04-09 00:00:00+00:00,15,714.4,133,TCS,-10716.0
2013-04-16 00:00:00+00:00,-48,241.0,4,AMAR,11568.0
2013-04-16 00:00:00+00:00,-22,489.0,53,GLEN,10758.0
2013-04-16 00:00:00+00:00,28,390.0,55,GOCP,-10920.0
2013-04-16 00:00:00+00:00,4,2576.76,124,SANO,-10307.04
2013-04-16 00:00:00+00:00,22,478.73,134,TEML,-10532.060000000001
2013-04-16 00:00:00+00:00,-56,400.0,146,UNSP,22400.0
2013-04-23 00:00:00+00:00,-210,52.2,35,CHLA,10962.0
2013-04-23 00:00:00+00:00,39,279.04,75,INFY,-10882.560000000001
2013-04-23 00:00:00+00:00,16,685.0,86,LUPN,-10960.0
2013-04-23 00:00:00+00:00,-355,37.53,93,MOSS,13323.15
2013-04-23 00:00:00+00:00,-22,458.82,134,TEML,10094.039999999999
2013-04-30 00:00:00+00:00,82,134.87,27,BPCL,-11059.34
2013-04-30 00:00:00+00:00,38,282.5,29,BRIT,-10735.0
2013-04-30 00:00:00+00:00,-39,277.06,75,INFY,10805.34
2013-04-30 00:00:00+00:00,63,172.07,152,WIPR,-10840.41
2013-05-07 00:00:00+00:00,47,236.17,33,CCRI,-11099.99
2013-05-07 00:00:00+00:00,69,158.0,42,DABU,-10902.0
2013-05-07 00:00:00+00:00,20,553.45,113,PIRA,-11069.0
2013-05-14 00:00:00+00:00,196,58.5,70,IGAS,-11466.0
2013-05-14 00:00:00+00:00,-63,174.0,152,WIPR,10962.0
2013-05-21 00:00:00+00:00,-82,133.7,27,BPCL,10963.4
2013-05-21 00:00:00+00:00,70,161.84,32,CAST,-11328.800000000001
2013-05-21 00:00:00+00:00,19,606.6,77,IPCA,-11525.4
2013-05-21 00:00:00+00:00,40,286.05,111,PIDI,-11442.0
2013-05-21 00:00:00+00:00,-20,577.75,113,PIRA,11555.0
2013-06-04 00:00:00+00:00,11,985.0,5,APLH,-10835.0
2013-06-04 00:00:00+00:00,51,222.65,78,ITC,-11355.15
2013-06-04 00:00:00+00:00,39,285.0,105,OILI,-11115.0
2013-06-04 00:00:00+00:00,-57,221.9,138,TRCE,12648.300000000001
2013-06-11 00:00:00+00:00,-23,453.0,11,ASPN,10419.0
2013-06-11 00:00:00+00:00,47,242.63,46,EMAM,-11403.61
2013-06-11 00:00:00+00:00,22,499.0,146,UNSP,-10978.0
2013-06-18 00:00:00+00:00,2,4127.75,108,PAGE,-8255.5
2013-06-18 00:00:00+00:00,-15,702.33,133,TCS,10534.95
2013-07-02 00:00:00+00:00,19,586.5,64,HLL,-11143.5
2013-07-02 00:00:00+00:00,-196,56.0,70,IGAS,10976.0
2013-07-02 00:00:00+00:00,31,360.05,83,KTKM,-11161.550000000001
2013-07-02 00:00:00+00:00,-4,2432.22,124,SANO,9728.88
2013-07-09 00:00:00+00:00,-59,202.55,61,HCLT,11950.45
2013-07-09 00:00:00+00:00,-39,282.38,105,OILI,11012.82
2013-07-09 00:00:00+00:00,3,2962.05,117,PROC,-8886.150000000001
2013-07-16 00:00:00+00:00,-70,163.3,32,CAST,11431.0
2013-07-16 00:00:00+00:00,5,2312.0,120,REDY,-11560.0
2013-07-23 00:00:00+00:00,-31,352.5,83,KTKM,10927.5
2013-07-30 00:00:00+00:00,-47,217.19,33,CCRI,10207.93
2013-08-06 00:00:00+00:00,172,68.2,47,ESCO,-11730.4
2013-08-06 00:00:00+00:00,-28,426.0,55,GOCP,11928.0
2013-08-06 00:00:00+00:00,-40,268.0,111,PIDI,10720.0
2013-08-13 00:00:00+00:00,2,5111.9,100,NEST,-10223.8
2013-08-20 00:00:00+00:00,-166,76.43,28,BRGR,12687.380000000001
2013-08-20 00:00:00+00:00,22,533.25,53,GLEN,-11731.5
2013-08-20 00:00:00+00:00,93,124.8,99,NATP,-11606.4
2013-08-27 00:00:00+00:00,48,233.19,61,HCLT,-11193.119999999999
2013-08-27 00:00:00+00:00,-51,203.03,78,ITC,10354.53
2013-08-27 00:00:00+00:00,-2,4860.0,100,NEST,9720.0
2013-09-03 00:00:00+00:00,-11,857.05,5,APLH,9427.55
2013-09-03 00:00:00+00:00,201,58.21,19,BION,-11700.210000000001
2013-09-03 00:00:00+00:00,-47,213.75,46,EMAM,10046.25
2013-09-03 00:00:00+00:00,6,1980.0,66,HROM,-11880.0
2013-09-03 00:00:00+00:00,-3,2601.0,117,PROC,7803.0
2013-09-03 00:00:00+00:00,11,989.59,133,TCS,-10885.49
2013-09-03 00:00:00+00:00,16,688.31,134,TEML,-11012.96
2013-09-10 00:00:00+00:00,-22,531.0,53,GLEN,11682.0
